KS012a - Occupation groups,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 11 January 2022],,,,,,,,,,
Population :,All people aged 16 to 74 in employment,,,,,,,,,
Units      :,Persons,,,,,,,,,
Date       :,2001,,,,,,,,,
,,,,,,,,,,
local authority: district / unitary (prior to April 2015),mnemonic,1. Managers and senior officials,2. Professional occupations,3. Associate professional and technical occupations,4. Administrative and secretarial occupations,5. Skilled trades occupations,6. Personal service occupations,7. Sales and customer service occupations,"8. Process, plant and machine operatives",9. Elementary occupations
,,,,,,,,,,
Darlington,E06000005,5978,4188,5415,5422,5270,2998,4461,3839,5422
County Durham,E06000047,23670,18815,24570,23783,25817,14814,17183,27111,27851
Hartlepool,E06000001,3384,2604,3978,3596,4785,2612,3506,4343,4954
Middlesbrough,E06000002,4933,4313,6027,5876,5985,4372,4977,5011,7823
Northumberland,E06000057,18133,13606,17800,16779,17228,11638,10646,13195,17058
Redcar and Cleveland,E06000003,5476,4969,6675,6294,7663,4508,4818,6352,7540
Stockton-on-Tees,E06000004,9513,7806,10199,9262,9055,5535,7136,7752,9646
Gateshead,E08000037,8683,6137,9400,11485,9674,5580,8253,7839,11735
Newcastle upon Tyne,E08000021,11427,14975,13354,13431,9923,7359,9599,7443,13987
North Tyneside,E08000022,10089,8497,11646,12686,9456,6210,7998,7308,9808
South Tyneside,E08000023,5953,4737,7330,8065,8138,4417,5732,6677,7850
Sunderland,E08000024,11747,8390,12902,15024,14269,8211,13686,13416,16474
Blackburn with Darwen,E06000008,6668,4593,5913,6446,6771,4465,3932,7951,6836
Blackpool,E06000009,9229,3436,6294,8567,6969,5525,5520,4840,8693
Cheshire East,E06000049,31737,22245,23267,19641,18680,11554,11260,12468,18291
Cheshire West and Chester,E06000050,24182,18897,19727,17419,15738,9681,12375,13215,18209
Halton,E06000006,5775,3797,5624,6821,5331,3565,5410,6661,7379
Warrington,E06000007,14750,10339,12420,11778,8833,5786,8723,7490,11167
Allerdale,E07000026,5295,3601,4212,4202,6993,2979,3261,5391,5880
Barrow-in-Furness,E07000027,2838,2600,3614,3143,5180,2299,2566,2607,4002
Carlisle,E07000028,5734,3551,5325,5491,6396,3210,4236,6138,6777
Copeland,E07000029,3112,2470,3830,3142,4794,2105,1898,3687,4184
Eden,E07000030,3375,2182,2498,2394,4736,1666,1547,2687,3667
South Lakeland,E07000031,8050,5577,5616,4640,7725,3627,3730,3371,6077
Bolton,E08000001,15739,11166,13936,14624,13568,8520,10250,12682,13930
Bury,E08000002,12725,9073,11670,11689,8698,6089,7242,7617,9044
Manchester,E08000003,15339,19602,18946,17914,11875,10932,12564,11769,23508
Oldham,E08000004,11629,7458,10759,12604,12440,6691,6756,11256,13182
Rochdale,E08000005,11265,7364,10266,11199,10455,6813,6705,10185,12615
Salford,E08000006,10951,8203,11171,13555,9505,7247,7752,8878,12658
Stockport,E08000007,21553,17786,19519,19269,14352,10045,11091,9560,12884
Tameside,E08000008,11466,6677,11187,14031,13063,7277,8178,12495,11880
Trafford,E08000009,16400,14083,15122,14992,8870,6262,8099,6298,9020
Wigan,E08000010,16111,10807,16299,16867,17635,10106,11142,17711,18937
Burnley,E07000117,4565,2954,4360,4101,5157,3126,3252,5619,4964
Chorley,E07000118,7749,5614,6351,5988,6146,3632,3403,4545,5772
Fylde,E07000119,5527,4628,4794,4347,3340,2440,2140,1841,3158
Hyndburn,E07000120,4240,2533,3859,3850,5303,3061,2684,5058,4185
Lancaster,E07000121,6948,6349,7071,6195,7028,5243,5150,4619,7303
Pendle,E07000122,4965,3211,4043,3829,5182,2807,2917,5598,4490
Preston,E07000123,6959,6280,6943,7496,6174,4016,5590,5145,7600
Ribble Valley,E07000124,4735,3565,3388,2885,3652,2011,1472,2190,2509
Rossendale,E07000125,4489,2967,3957,3237,3853,2486,1987,3716,3185
South Ribble,E07000126,7092,5204,6692,7643,6676,3581,4282,4661,5496
West Lancashire,E07000127,7131,5677,6037,5864,5726,3729,3390,5234,6054
Wyre,E07000128,6253,4505,5435,7124,6252,3631,3453,3562,4821
Knowsley,E08000011,5638,3614,6311,7812,6409,4971,5319,6797,7480
Liverpool,E08000012,16164,17888,19953,23272,14818,13277,14278,13628,21539
Sefton,E08000014,16010,12304,16276,18231,12100,9873,11099,8399,12023
St. Helens,E08000013,8547,6403,9255,9379,8739,6078,6493,8069,10113
Wirral,E08000015,16329,14827,18044,17454,13817,10736,10225,11418,13547
East Riding of Yorkshire,E06000011,21856,15182,19133,17733,20476,10349,10555,12344,17230
"Kingston upon Hull, City of",E06000010,8422,6167,10147,10857,14062,7425,9295,12229,17353
North East Lincolnshire,E06000012,6956,4485,7065,7150,8794,4784,5814,10596,10188
North Lincolnshire,E06000013,7879,5437,7469,7485,9567,4743,4760,9702,11041
York,E06000014,12266,10515,11692,10770,9700,6070,8520,6628,11144
Craven,E07000163,4171,3061,3182,2616,4124,1900,1628,1966,3073
Hambleton,E07000164,7286,4949,5968,4691,6249,2743,2349,2745,4910
Harrogate,E07000165,14305,9110,12476,9034,8876,5210,4994,4000,7750
Richmondshire,E07000166,3564,2092,5607,2409,3351,1545,1183,1515,2858
Ryedale,E07000167,3561,2285,2270,2408,4449,1758,1493,2394,3566
Scarborough,E07000168,6397,3773,4874,4492,7029,3608,3983,4164,6656
Selby,E07000169,5989,3539,4521,4642,4913,2510,2868,4204,4699
Barnsley,E08000016,9964,6231,9437,9568,12864,6956,7659,12189,13894
Doncaster,E08000017,14096,8533,13435,13280,15866,9439,11469,13918,18326
Rotherham,E08000018,12635,7749,11572,12918,14036,8247,10627,13288,15417
Sheffield,E08000019,25836,26592,27731,27612,26545,15969,19529,20207,28472
Bradford,E08000032,25664,18009,23250,26525,21563,13957,15951,20628,25703
Calderdale,E08000033,12762,9193,11316,11009,11026,6493,5922,10179,10138
Kirklees,E08000034,24991,17273,21399,20841,21553,11885,13266,20757,22058
Leeds,E08000035,43860,36491,43241,45758,34238,23431,28906,25898,41008
Wakefield,E08000036,17037,10518,16013,16598,16908,9854,11942,16452,22699
Derby,E06000015,11960,9927,12298,11621,11288,6658,8153,10130,13416
Leicester,E06000016,10816,11054,12036,13099,11838,7552,9763,17344,18078
Nottingham,E06000018,11298,11308,12593,12018,10601,6801,9079,10512,17487
Rutland,E06000017,3264,2005,2646,1595,2071,994,892,1230,1869
Amber Valley,E07000032,7941,5195,6118,6143,7810,3298,3578,7358,7216
