"Measure","Time","Time_type","Geography","Geography_type","Geography_code","Age_Group","Ethnicity","Ethnicity_type","Sex","Value1","Value1_type","Value2","Value2_type","Numerator","Denominator"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","All","All","All","All","100","% of Total Age Group Population","100","% of Total Ethnic Group Population","59597020","59597020"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","All","All","All","Female","100","% of Total Age Group Population","100","% of Total Ethnic Group Population","30420030","30420030"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","All","All","All","Male","100","% of Total Age Group Population","100","% of Total Ethnic Group Population","29176990","29176990"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","All","Asian","ONS 2021 5+1","All","9.254338556","% of Total Age Group Population","100","% of Total Ethnic Group Population","5515310","59597020"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","All","Asian","ONS 2021 5+1","Female","9.230645072","% of Total Age Group Population","100","% of Total Ethnic Group Population","2807965","30420030"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","All","Asian","ONS 2021 5+1","Male","9.279041464","% of Total Age Group Population","100","% of Total Ethnic Group Population","2707345","29176990"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","All","Bangladeshi","ONS 2021 19+1","All","1.082000409","% of Total Age Group Population","100","% of Total Ethnic Group Population","644840","59597020"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","All","Bangladeshi","ONS 2021 19+1","Female","1.057033803","% of Total Age Group Population","100","% of Total Ethnic Group Population","321550","30420030"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","All","Bangladeshi","ONS 2021 19+1","Male","1.108030678","% of Total Age Group Population","100","% of Total Ethnic Group Population","323290","29176990"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","All","Chinese","ONS 2021 19+1","All","0.747680001","% of Total Age Group Population","100","% of Total Ethnic Group Population","445595","59597020"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","All","Chinese","ONS 2021 19+1","Female","0.80826679","% of Total Age Group Population","100","% of Total Ethnic Group Population","245875","30420030"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","All","Chinese","ONS 2021 19+1","Male","0.684512008","% of Total Age Group Population","100","% of Total Ethnic Group Population","199720","29176990"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","All","Indian","ONS 2021 19+1","All","3.128126205","% of Total Age Group Population","100","% of Total Ethnic Group Population","1864270","59597020"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","All","Indian","ONS 2021 19+1","Female","3.067156739","% of Total Age Group Population","100","% of Total Ethnic Group Population","933030","30420030"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","All","Indian","ONS 2021 19+1","Male","3.19169318","% of Total Age Group Population","100","% of Total Ethnic Group Population","931240","29176990"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","All","Pakistani","ONS 2021 19+1","All","2.66426073","% of Total Age Group Population","100","% of Total Ethnic Group Population","1587820","59597020"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","All","Pakistani","ONS 2021 19+1","Female","2.598370219","% of Total Age Group Population","100","% of Total Ethnic Group Population","790425","30420030"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","All","Pakistani","ONS 2021 19+1","Male","2.732958403","% of Total Age Group Population","100","% of Total Ethnic Group Population","797395","29176990"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","All","Any Other Asian Background","ONS 2021 19+1","All","1.632271211","% of Total Age Group Population","100","% of Total Ethnic Group Population","972785","59597020"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","All","Any Other Asian Background","ONS 2021 19+1","Female","1.699817522","% of Total Age Group Population","100","% of Total Ethnic Group Population","517085","30420030"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","All","Any Other Asian Background","ONS 2021 19+1","Male","1.561847195","% of Total Age Group Population","100","% of Total Ethnic Group Population","455700","29176990"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","All","Black","ONS 2021 5+1","All","4.042509172","% of Total Age Group Population","100","% of Total Ethnic Group Population","2409215","59597020"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","All","Black","ONS 2021 5+1","Female","4.163950529","% of Total Age Group Population","100","% of Total Ethnic Group Population","1266675","30420030"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","All","Black","ONS 2021 5+1","Male","3.915893997","% of Total Age Group Population","100","% of Total Ethnic Group Population","1142540","29176990"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","All","Black African","ONS 2021 19+1","All","2.497322853","% of Total Age Group Population","100","% of Total Ethnic Group Population","1488330","59597020"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","All","Black African","ONS 2021 19+1","Female","2.563853487","% of Total Age Group Population","100","% of Total Ethnic Group Population","779925","30420030"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","All","Black African","ONS 2021 19+1","Male","2.427957785","% of Total Age Group Population","100","% of Total Ethnic Group Population","708405","29176990"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","All","Black Caribbean","ONS 2021 19+1","All","1.045555633","% of Total Age Group Population","100","% of Total Ethnic Group Population","623120","59597020"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","All","Black Caribbean","ONS 2021 19+1","Female","1.108151438","% of Total Age Group Population","100","% of Total Ethnic Group Population","337100","30420030"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","All","Black Caribbean","ONS 2021 19+1","Male","0.980293032","% of Total Age Group Population","100","% of Total Ethnic Group Population","286020","29176990"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","All","Any Other Black Background","ONS 2021 19+1","All","0.499630686","% of Total Age Group Population","100","% of Total Ethnic Group Population","297765","59597020"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","All","Any Other Black Background","ONS 2021 19+1","Female","0.491945603","% of Total Age Group Population","100","% of Total Ethnic Group Population","149650","30420030"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","All","Any Other Black Background","ONS 2021 19+1","Male","0.50764318","% of Total Age Group Population","100","% of Total Ethnic Group Population","148115","29176990"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","All","Mixed","ONS 2021 5+1","All","2.88243439","% of Total Age Group Population","100","% of Total Ethnic Group Population","1717845","59597020"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","All","Mixed","ONS 2021 5+1","Female","2.879714451","% of Total Age Group Population","100","% of Total Ethnic Group Population","876010","30420030"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","All","Mixed","ONS 2021 5+1","Male","2.885270208","% of Total Age Group Population","100","% of Total Ethnic Group Population","841835","29176990"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","All","Mixed White and Asian","ONS 2021 19+1","All","0.819168475","% of Total Age Group Population","100","% of Total Ethnic Group Population","488200","59597020"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","All","Mixed White and Asian","ONS 2021 19+1","Female","0.805752","% of Total Age Group Population","100","% of Total Ethnic Group Population","245110","30420030"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","All","Mixed White and Asian","ONS 2021 19+1","Male","0.833156539","% of Total Age Group Population","100","% of Total Ethnic Group Population","243090","29176990"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","All","Mixed White and Black African","ONS 2021 19+1","All","0.418779328","% of Total Age Group Population","100","% of Total Ethnic Group Population","249580","59597020"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","All","Mixed White and Black African","ONS 2021 19+1","Female","0.417323717","% of Total Age Group Population","100","% of Total Ethnic Group Population","126950","30420030"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","All","Mixed White and Black African","ONS 2021 19+1","Male","0.420296953","% of Total Age Group Population","100","% of Total Ethnic Group Population","122630","29176990"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","All","Mixed White and Black Caribbean","ONS 2021 19+1","All","0.860806463","% of Total Age Group Population","100","% of Total Ethnic Group Population","513015","59597020"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","All","Mixed White and Black Caribbean","ONS 2021 19+1","Female","0.859039258","% of Total Age Group Population","100","% of Total Ethnic Group Population","261320","30420030"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","All","Mixed White and Black Caribbean","ONS 2021 19+1","Male","0.862648957","% of Total Age Group Population","100","% of Total Ethnic Group Population","251695","29176990"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","All","Any Other Mixed/Multiple Ethnic Background","ONS 2021 19+1","All","0.783680124","% of Total Age Group Population","100","% of Total Ethnic Group Population","467050","59597020"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","All","Any Other Mixed/Multiple Ethnic Background","ONS 2021 19+1","Female","0.797599476","% of Total Age Group Population","100","% of Total Ethnic Group Population","242630","30420030"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","All","Any Other Mixed/Multiple Ethnic Background","ONS 2021 19+1","Male","0.769167759","% of Total Age Group Population","100","% of Total Ethnic Group Population","224420","29176990"
