COUNCIL_AREA,NAME,ONS_CODE
01,Aberdeen City,QA
02,Aberdeenshire,QB
03,Angus,QC
04,Argyll & Bute,QD
05,Scottish Borders,QE
06,Clackmannanshire,QF
07,West Dunbartonshire,QG
08,Dumfries & Galloway,QH
09,Dundee City,QJ
10,East Ayrshire,QK
11,East Dunbartonshire,QL
12,East Lothian,QM
13,East Renfrewshire,QN
14,"Edinburgh, City of",QP
15,Falkirk,QQ
16,Fife,QR
17,Glasgow City,QS
18,Highland,QT
19,Inverclyde,QU
20,Midlothian,QW
21,Moray,QX
22,North Ayrshire,QY
23,North Lanarkshire,QZ
24,Orkney Islands,RA
25,Perth & Kinross,RB
26,Renfrewshire,RC
27,Shetland Islands,RD
28,South Ayrshire,RE
29,South Lanarkshire,RF
30,Stirling,RG
31,West Lothian,RH
32,Eilean Siar,RJ
